log_id,template,variables,original
2178,"<DATE> [INFO] database <P_ID> <T_ID>334 checkpoint end, <*> pages flushed, <*> <*>","['2025-04-30 00:09:55.928', 'P0000009826', 'T0000000000000011', '727', 'used_space[70674944],', 'f']","2025-04-30 00:09:55.928 [INFO] database P0000009826 T0000000000000011334  checkpoint end, 727 pages flushed, used_space[70674944], free_space[21404153344]."
2179,<DATE> [WARNING] database <P_ID> <*> socket_err_should_retry <*>,"['2025-04-30 00:09:59.312', 'P0000009826', 'T0000000000000060023', 'e']",2025-04-30 00:09:59.312 [WARNING] database P0000009826 T0000000000000060023  socket_err_should_retry errno:38
2180,<DATE> [WARNING] database <P_ID> <*> socket_err_should_retry <*>,"['2025-04-30 00:10:00.709', 'P0000009826', 'T0000000000000060717', 'e']",2025-04-30 00:10:00.709 [WARNING] database P0000009826 T0000000000000060717  socket_err_should_retry errno:12
2181,<DATE> [INFO] database <P_ID> <*> checkpoint requested by <*> rlog free <*> used <*>,"['2025-04-30 00:10:01.087', 'P0000009826', 'T0000000000000011335', 'RLOG_FLUSH_THREAD,', 'space[21340337152],', 's']","2025-04-30 00:10:01.087 [INFO] database P0000009826 T0000000000000011335  checkpoint requested by RLOG_FLUSH_THREAD, rlog free space[21340337152], used space[134491136]"
2182,"<DATE> [INFO] database <P_ID> <T_ID>335 checkpoint generated by rlog flush thread, full_status: <STATUS>, ptx_reserved: <RESERVED>",[],"2025-04-30 00:10:01.087 [INFO] database P0000009826 T0000000000000011335  checkpoint generated by rlog flush thread, full_status:161, ptx_reserved:4"
2183,"<DATE> [INFO] database <P_ID> <T_ID>334 checkpoint begin, <*> <*>","['2025-04-30 00:10:01.087', 'P0000009826', 'T0000000000000011', 'used_space[134491136],', 'f']","2025-04-30 00:10:01.087 [INFO] database P0000009826 T0000000000000011334  checkpoint begin, used_space[134491136], free_space[21340337152]..."
2184,<DATE> [INFO] database <P_ID> <T_ID>334 ckpt2_request_far_ep_flush dest_seq:1 <*>,"['2025-04-30 00:10:01.738', 'P0000009826', 'T0000000000000011', 'b']",2025-04-30 00:10:01.738 [INFO] database P0000009826 T0000000000000011334  ckpt2_request_far_ep_flush dest_seq:1 begin
2185,<DATE> [INFO] database <P_ID> <T_ID>334 ckpt2_request_far_ep_flush dest_seq:1 <*>,"['2025-04-30 00:10:01.738', 'P0000009826', 'T0000000000000011', 'e']",2025-04-30 00:10:01.738 [INFO] database P0000009826 T0000000000000011334  ckpt2_request_far_ep_flush dest_seq:1 end
2186,<DATE> [INFO] database <P_ID> <*> ckpt2_log_adjust: full_status: <*> ptx_reserved: <*>,"['2025-04-30 00:10:01.821', 'P0000009826', 'T0000000000000011334', '160,', '1']","2025-04-30 00:10:01.821 [INFO] database P0000009826 T0000000000000011334  ckpt2_log_adjust: full_status: 160, ptx_reserved: 10"
2187,"<DATE> [INFO] database <P_ID> <T_ID>334 ckpt2_log_adjust: ckpt_lsn(2740293063154), ckpt_fil(0), ckpt_off(8939736064), cur_lsn(2740293758339), l_next_seq(35891327371), g_next_seq(35790005036), cur_free(9003577344), total_space(21474828288), used_space(63841280), free_space(21410987008), n_ep(2)","['2025-04-30 00:10:01.821', 'P0000009826', 'T0000000000000011']","2025-04-30 00:10:01.821 [INFO] database P0000009826 T0000000000000011334  ckpt2_log_adjust: ckpt_lsn(2740293063154), ckpt_fil(0), ckpt_off(8939736064), cur_lsn(2740293758339), l_next_seq(35891327371), g_next_seq(35790005036), cur_free(9003577344), total_space(21474828288), used_space(63841280), free_space(21410987008), n_ep(2)"
2188,"<DATE> [INFO] database <P_ID> <T_ID>334 checkpoint end, <*> pages flushed, <*> <*>","['2025-04-30 00:10:01.821', 'P0000009826', 'T0000000000000011', '4505', 'used_space[63857152],', 'f']","2025-04-30 00:10:01.821 [INFO] database P0000009826 T0000000000000011334  checkpoint end, 4505 pages flushed, used_space[63857152], free_space[21410971136]."
2189,<DATE> [WARNING] database <P_ID> <*> socket_err_should_retry <*>,"['2025-04-30 00:10:01.907', 'P0000009826', 'T0000000000000060834', 'e']",2025-04-30 00:10:01.907 [WARNING] database P0000009826 T0000000000000060834  socket_err_should_retry errno:84
2190,<DATE> [WARNING] database <P_ID> <*> socket_err_should_retry <*>,"['2025-04-30 00:10:01.934', 'P0000009826', 'T0000000000000060837', 'e']",2025-04-30 00:10:01.934 [WARNING] database P0000009826 T0000000000000060837  socket_err_should_retry errno:84
2191,<DATE> [WARNING] database <P_ID> <*> socket_err_should_retry <*>,"['2025-04-30 00:10:02.322', 'P0000009826', 'T0000000000000060802', 'e']",2025-04-30 00:10:02.322 [WARNING] database P0000009826 T0000000000000060802  socket_err_should_retry errno:38
2192,<DATE> [INFO] database <P_ID> <*> checkpoint requested by <*> rlog free <*> used <*>,"['2025-04-30 00:10:04.875', 'P0000009826', 'T0000000000000011335', 'RLOG_FLUSH_THREAD,', 'space[21340486144],', 's']","2025-04-30 00:10:04.875 [INFO] database P0000009826 T0000000000000011335  checkpoint requested by RLOG_FLUSH_THREAD, rlog free space[21340486144], used space[134342144]"
2193,"<DATE> [INFO] database <P_ID> <T_ID>335 checkpoint generated by rlog flush thread, full_status: <STATUS>, ptx_reserved: <RESERVED>",[],"2025-04-30 00:10:04.875 [INFO] database P0000009826 T0000000000000011335  checkpoint generated by rlog flush thread, full_status:161, ptx_reserved:4"
2194,"<DATE> [INFO] database <P_ID> <T_ID>334 checkpoint begin, <*> <*>","['2025-04-30 00:10:04.875', 'P0000009826', 'T0000000000000011', 'used_space[134342144],', 'f']","2025-04-30 00:10:04.875 [INFO] database P0000009826 T0000000000000011334  checkpoint begin, used_space[134342144], free_space[21340486144]..."
2195,"<DATE> [INFO] database <P_ID> <*> hpc_process_ckpt_far_ep_flush flush begin, pseg_first_open:0, hpc_status:1, src_site:1, <*>","['2025-04-30 00:10:05.172', 'P0000009826', 'T0000000000000010998', 'c']","2025-04-30 00:10:05.172 [INFO] database P0000009826 T0000000000000010998  hpc_process_ckpt_far_ep_flush flush begin, pseg_first_open:0, hpc_status:1, src_site:1, ckpt_lsn:2740294207662"
2196,<DATE> [INFO] database <P_ID> <T_ID>334 ckpt2_request_far_ep_flush dest_seq:1 <*>,"['2025-04-30 00:10:05.542', 'P0000009826', 'T0000000000000011', 'b']",2025-04-30 00:10:05.542 [INFO] database P0000009826 T0000000000000011334  ckpt2_request_far_ep_flush dest_seq:1 begin
2197,<DATE> [INFO] database <P_ID> <T_ID>334 ckpt2_request_far_ep_flush dest_seq:1 <*>,"['2025-04-30 00:10:05.542', 'P0000009826', 'T0000000000000011', 'e']",2025-04-30 00:10:05.542 [INFO] database P0000009826 T0000000000000011334  ckpt2_request_far_ep_flush dest_seq:1 end
2198,"<DATE> [INFO] database <P_ID> <*> hpc_process_ckpt_far_ep_flush flush total <*> pages done, pseg_first_open:0, hpc_status:1, src_site:1, <*> <*> max_gen_lsn:0 code:0","['2025-04-30 00:10:05.543', 'P0000009826', 'T0000000000000010998', '1721', 'ckpt_lsn:2740294207662,', 'min_fst_mdf_lsn:2740294363569,']","2025-04-30 00:10:05.543 [INFO] database P0000009826 T0000000000000010998  hpc_process_ckpt_far_ep_flush flush total 1721 pages done, pseg_first_open:0, hpc_status:1, src_site:1, ckpt_lsn:2740294207662, min_fst_mdf_lsn:2740294363569, max_gen_lsn:0 code:0"
2199,<DATE> [INFO] database <P_ID> <*> ckpt2_log_adjust: full_status: <*> ptx_reserved: <*>,"['2025-04-30 00:10:05.592', 'P0000009826', 'T0000000000000011334', '160,', '1']","2025-04-30 00:10:05.592 [INFO] database P0000009826 T0000000000000011334  ckpt2_log_adjust: full_status: 160, ptx_reserved: 14"
2200,"<DATE> [INFO] database <P_ID> <T_ID>334 ckpt2_log_adjust: ckpt_lsn(2740294014721), ckpt_fil(0), ckpt_off(9033296896), cur_lsn(2740294365564), l_next_seq(35891327993), g_next_seq(35790005658), cur_free(9074194432), total_space(21474828288), used_space(40897536), free_space(21433930752), n_ep(2)","['2025-04-30 00:10:05.592', 'P0000009826', 'T0000000000000011']","2025-04-30 00:10:05.592 [INFO] database P0000009826 T0000000000000011334  ckpt2_log_adjust: ckpt_lsn(2740294014721), ckpt_fil(0), ckpt_off(9033296896), cur_lsn(2740294365564), l_next_seq(35891327993), g_next_seq(35790005658), cur_free(9074194432), total_space(21474828288), used_space(40897536), free_space(21433930752), n_ep(2)"
2201,"<DATE> [INFO] database <P_ID> <T_ID>334 checkpoint end, <*> pages flushed, <*> <*>","['2025-04-30 00:10:05.592', 'P0000009826', 'T0000000000000011', '2472', 'used_space[40900096],', 'f']","2025-04-30 00:10:05.592 [INFO] database P0000009826 T0000000000000011334  checkpoint end, 2472 pages flushed, used_space[40900096], free_space[21433928192]."
2202,<DATE> [INFO] database <P_ID> <*> checkpoint requested by <*> rlog free <*> used <*>,"['2025-04-30 00:10:08.225', 'P0000009826', 'T0000000000000011335', 'RLOG_FLUSH_THREAD,', 'space[21340457984],', 's']","2025-04-30 00:10:08.225 [INFO] database P0000009826 T0000000000000011335  checkpoint requested by RLOG_FLUSH_THREAD, rlog free space[21340457984], used space[134370304]"
2203,"<DATE> [INFO] database <P_ID> <T_ID>335 checkpoint generated by rlog flush thread, full_status: <STATUS>, ptx_reserved: <RESERVED>",[],"2025-04-30 00:10:08.225 [INFO] database P0000009826 T0000000000000011335  checkpoint generated by rlog flush thread, full_status:161, ptx_reserved:4"
2204,"<DATE> [INFO] database <P_ID> <T_ID>334 checkpoint begin, <*> <*>","['2025-04-30 00:10:08.225', 'P0000009826', 'T0000000000000011', 'used_space[134370304],', 'f']","2025-04-30 00:10:08.225 [INFO] database P0000009826 T0000000000000011334  checkpoint begin, used_space[134370304], free_space[21340457984]..."
2205,<DATE> [INFO] database <P_ID> <T_ID>334 ckpt2_request_far_ep_flush dest_seq:1 <*>,"['2025-04-30 00:10:08.688', 'P0000009826', 'T0000000000000011', 'b']",2025-04-30 00:10:08.688 [INFO] database P0000009826 T0000000000000011334  ckpt2_request_far_ep_flush dest_seq:1 begin
2206,<DATE> [INFO] database <P_ID> <T_ID>334 ckpt2_request_far_ep_flush dest_seq:1 <*>,"['2025-04-30 00:10:08.688', 'P0000009826', 'T0000000000000011', 'e']",2025-04-30 00:10:08.688 [INFO] database P0000009826 T0000000000000011334  ckpt2_request_far_ep_flush dest_seq:1 end
2207,<DATE> [INFO] database <P_ID> <*> ckpt2_log_adjust: full_status: <*> ptx_reserved: <*>,"['2025-04-30 00:10:08.814', 'P0000009826', 'T0000000000000011334', '160,', '1']","2025-04-30 00:10:08.814 [INFO] database P0000009826 T0000000000000011334  ckpt2_log_adjust: full_status: 160, ptx_reserved: 18"
2208,"<DATE> [INFO] database <P_ID> <T_ID>334 ckpt2_log_adjust: ckpt_lsn(2740294711422), ckpt_fil(0), ckpt_off(9135448576), cur_lsn(2740294877348), l_next_seq(35891328551), g_next_seq(35790006216), cur_free(9167762432), total_space(21474828288), used_space(32280576), free_space(21442547712), n_ep(2)","['2025-04-30 00:10:08.817', 'P0000009826', 'T0000000000000011']","2025-04-30 00:10:08.817 [INFO] database P0000009826 T0000000000000011334  ckpt2_log_adjust: ckpt_lsn(2740294711422), ckpt_fil(0), ckpt_off(9135448576), cur_lsn(2740294877348), l_next_seq(35891328551), g_next_seq(35790006216), cur_free(9167762432), total_space(21474828288), used_space(32280576), free_space(21442547712), n_ep(2)"
2209,"<DATE> [INFO] database <P_ID> <T_ID>334 checkpoint end, <*> pages flushed, <*> <*>","['2025-04-30 00:10:08.817', 'P0000009826', 'T0000000000000011', '2734', 'used_space[32374272],', 'f']","2025-04-30 00:10:08.817 [INFO] database P0000009826 T0000000000000011334  checkpoint end, 2734 pages flushed, used_space[32374272], free_space[21442454016]."
2210,<DATE> [WARNING] database <P_ID> <*> socket_err_should_retry <*>,"['2025-04-30 00:10:08.823', 'P0000009826', 'T0000000000000061241', 'e']",2025-04-30 00:10:08.823 [WARNING] database P0000009826 T0000000000000061241  socket_err_should_retry errno:38
2211,<DATE> [INFO] database <P_ID> <*> checkpoint requested by <*> rlog free <*> used <*>,"['2025-04-30 00:10:16.241', 'P0000009826', 'T0000000000000011335', 'RLOG_FLUSH_THREAD,', 'space[21340412416],', 's']","2025-04-30 00:10:16.241 [INFO] database P0000009826 T0000000000000011335  checkpoint requested by RLOG_FLUSH_THREAD, rlog free space[21340412416], used space[134415872]"
2212,"<DATE> [INFO] database <P_ID> <T_ID>335 checkpoint generated by rlog flush thread, full_status: <STATUS>, ptx_reserved: <RESERVED>",[],"2025-04-30 00:10:16.241 [INFO] database P0000009826 T0000000000000011335  checkpoint generated by rlog flush thread, full_status:161, ptx_reserved:14"
2213,"<DATE> [INFO] database <P_ID> <T_ID>334 checkpoint begin, <*> <*>","['2025-04-30 00:10:16.241', 'P0000009826', 'T0000000000000011', 'used_space[134415872],', 'f']","2025-04-30 00:10:16.241 [INFO] database P0000009826 T0000000000000011334  checkpoint begin, used_space[134415872], free_space[21340412416]..."
2214,<DATE> [INFO] database <P_ID> <T_ID>334 ckpt2_request_far_ep_flush dest_seq:1 <*>,"['2025-04-30 00:10:16.753', 'P0000009826', 'T0000000000000011', 'b']",2025-04-30 00:10:16.753 [INFO] database P0000009826 T0000000000000011334  ckpt2_request_far_ep_flush dest_seq:1 begin
2215,<DATE> [INFO] database <P_ID> <T_ID>334 ckpt2_request_far_ep_flush dest_seq:1 <*>,"['2025-04-30 00:10:16.753', 'P0000009826', 'T0000000000000011', 'e']",2025-04-30 00:10:16.753 [INFO] database P0000009826 T0000000000000011334  ckpt2_request_far_ep_flush dest_seq:1 end
2216,<DATE> [INFO] database <P_ID> <*> ckpt2_log_adjust: full_status: <*> ptx_reserved: <*>,"['2025-04-30 00:10:16.970', 'P0000009826', 'T0000000000000011334', '160,', '2']","2025-04-30 00:10:16.970 [INFO] database P0000009826 T0000000000000011334  ckpt2_log_adjust: full_status: 160, ptx_reserved: 26"
2217,"<DATE> [INFO] database <P_ID> <T_ID>334 ckpt2_log_adjust: ckpt_lsn(2740295391450), ckpt_fil(0), ckpt_off(9239510528), cur_lsn(2740295572863), l_next_seq(35891329468), g_next_seq(35790007133), cur_free(9270050304), total_space(21474828288), used_space(30461440), free_space(21444366848), n_ep(2)","['2025-04-30 00:10:16.975', 'P0000009826', 'T0000000000000011']","2025-04-30 00:10:16.975 [INFO] database P0000009826 T0000000000000011334  ckpt2_log_adjust: ckpt_lsn(2740295391450), ckpt_fil(0), ckpt_off(9239510528), cur_lsn(2740295572863), l_next_seq(35891329468), g_next_seq(35790007133), cur_free(9270050304), total_space(21474828288), used_space(30461440), free_space(21444366848), n_ep(2)"
2218,"<DATE> [INFO] database <P_ID> <T_ID>334 checkpoint end, <*> pages flushed, <*> <*>","['2025-04-30 00:10:16.975', 'P0000009826', 'T0000000000000011', '3724', 'used_space[30539776],', 'f']","2025-04-30 00:10:16.975 [INFO] database P0000009826 T0000000000000011334  checkpoint end, 3724 pages flushed, used_space[30539776], free_space[21444288512]."
2219,"<DATE> [INFO] database <P_ID> <*> rafil_close_with_trunc <*> to <*> len, <*> ret = 1!","['2025-04-30 00:10:17.014', 'P0000009826', 'T0000000000000009996', 'file[/dbarch/arch_dsc0/ARCHIVE_LOCAL1_0x487AF488_EP0_2025-04-30_00-09-23.log]', '2147259904', 'g_next_seq:35790007150,']","2025-04-30 00:10:17.014 [INFO] database P0000009826 T0000000000000009996  rafil_close_with_trunc file[/dbarch/arch_dsc0/ARCHIVE_LOCAL1_0x487AF488_EP0_2025-04-30_00-09-23.log] to 2147259904 len, g_next_seq:35790007150, ret = 1!"
2220,"<DATE> [INFO] database <P_ID> <T_ID>996 rfil_close_low set arch <*> sta to inactive, l_next_seq = <*> g_next_seq = <*> clsn = <*> handle = <*> <*> <*>","['2025-04-30 00:10:17.014', 'P0000009826', 'T0000000000000009', ""rfil[/dbarch/arch_dsc0/ARCHIVE_LOCAL1_0x487AF488_EP0_2025-04-30_00-09-23.log]'s"", '35790007150,', '35790007150,', '2740295576843,', '308,', 'free=2147259904,', 'l']","2025-04-30 00:10:17.014 [INFO] database P0000009826 T0000000000000009996  rfil_close_low set arch rfil[/dbarch/arch_dsc0/ARCHIVE_LOCAL1_0x487AF488_EP0_2025-04-30_00-09-23.log]'s sta to inactive, l_next_seq = 35790007150, g_next_seq = 35790007150, clsn = 2740295576843, handle = 308, free=2147259904, len=2147259904"
2221,"<DATE> [INFO] database <P_ID> <T_ID>996 Reach space limit of archive file, delete archive log file, db_magic:1216017544, src_db_magic:676801402, <*> <*> <*> <*> file_path: <*>","['2025-04-30 00:10:17.124', 'P0000009826', 'T0000000000000009', 'arch_lsn:2737269832513,', 'arch_seq:35757299656,', 'clsn:2737275645571,', 'next_seq:35757386031,', '/']","2025-04-30 00:10:17.124 [INFO] database P0000009826 T0000000000000009996  Reach space limit of archive file, delete archive log file, db_magic:1216017544, src_db_magic:676801402, arch_lsn:2737269832513, arch_seq:35757299656, clsn:2737275645571, next_seq:35757386031, file_path: /dbarch/arch_dsc0/STANDBY_ARCHIVE_0x28572B7A_EP0_2025-04-28_13-26-18.log"
2222,<DATE> [INFO] database <P_ID> <*> rafil_file_create <*> start,"['2025-04-30 00:10:17.125', 'P0000009826', 'T0000000000000009996', '[/dbarch/arch_dsc0/ARCHIVE_LOCAL1_0x487AF488_EP0_2025-04-30_00-10-17.log]']",2025-04-30 00:10:17.125 [INFO] database P0000009826 T0000000000000009996  rafil_file_create [/dbarch/arch_dsc0/ARCHIVE_LOCAL1_0x487AF488_EP0_2025-04-30_00-10-17.log] start
2223,<DATE> [INFO] database <P_ID> <*> checkpoint requested by <*> rlog free <*> used <*>,"['2025-04-30 00:10:18.074', 'P0000009826', 'T0000000000000011420', 'CKPT_RLOG_SPACE,', 'space[21340589056],', 's']","2025-04-30 00:10:18.074 [INFO] database P0000009826 T0000000000000011420  checkpoint requested by CKPT_RLOG_SPACE, rlog free space[21340589056], used space[134239232]"
2224,<DATE> [INFO] database <P_ID> <*> checkpoint generate by rlog space,"['2025-04-30 00:10:18.074', 'P0000009826', 'T0000000000000011420']",2025-04-30 00:10:18.074 [INFO] database P0000009826 T0000000000000011420  checkpoint generate by rlog space
2225,"<DATE> [INFO] database <P_ID> <T_ID>334 checkpoint begin, <*> <*>","['2025-04-30 00:10:18.074', 'P0000009826', 'T0000000000000011', 'used_space[134239232],', 'f']","2025-04-30 00:10:18.074 [INFO] database P0000009826 T0000000000000011334  checkpoint begin, used_space[134239232], free_space[21340589056]..."
2226,"<DATE> [INFO] database <P_ID> <T_ID>996 rfil_close_low set arch <*> sta to inactive, l_next_seq = <*> g_next_seq = <*> clsn = <*> handle = <*> <*> <*>","['2025-04-30 00:10:21.208', 'P0000009826', 'T0000000000000009', ""rfil[/dbarch/arch_dsc0/ARCHIVE_LOCAL1_0x487AF488_EP0_2025-04-30_00-10-17.log]'s"", '2457,', '2457,', '0,', '158,', 'free=4096,', 'l']","2025-04-30 00:10:21.208 [INFO] database P0000009826 T0000000000000009996  rfil_close_low set arch rfil[/dbarch/arch_dsc0/ARCHIVE_LOCAL1_0x487AF488_EP0_2025-04-30_00-10-17.log]'s sta to inactive, l_next_seq = 2457, g_next_seq = 2457, clsn = 0, handle = 158, free=4096, len=2147483648"
2227,"<DATE> [INFO] database <P_ID> <*> rafil_file_create <*> success, handle = <*>","['2025-04-30 00:10:21.209', 'P0000009826', 'T0000000000000009996', '[/dbarch/arch_dsc0/ARCHIVE_LOCAL1_0x487AF488_EP0_2025-04-30_00-10-17.log]', '1']","2025-04-30 00:10:21.209 [INFO] database P0000009826 T0000000000000009996  rafil_file_create [/dbarch/arch_dsc0/ARCHIVE_LOCAL1_0x487AF488_EP0_2025-04-30_00-10-17.log] success, handle = 158"
2228,"<DATE> [INFO] database <P_ID> <*> rafil_switch_if_necessary, rafil_new_arch_file, rafil create new arch file <*> success","['2025-04-30 00:10:21.209', 'P0000009826', 'T0000000000000009996', '[/dbarch/arch_dsc0/ARCHIVE_LOCAL1_0x487AF488_EP0_2025-04-30_00-10-17.log]']","2025-04-30 00:10:21.209 [INFO] database P0000009826 T0000000000000009996  rafil_switch_if_necessary, rafil_new_arch_file, rafil create new arch file [/dbarch/arch_dsc0/ARCHIVE_LOCAL1_0x487AF488_EP0_2025-04-30_00-10-17.log] success"
2229,<DATE> [INFO] database <P_ID> <T_ID>334 ckpt2_request_far_ep_flush dest_seq:1 <*>,"['2025-04-30 00:10:21.859', 'P0000009826', 'T0000000000000011', 'b']",2025-04-30 00:10:21.859 [INFO] database P0000009826 T0000000000000011334  ckpt2_request_far_ep_flush dest_seq:1 begin
2230,<DATE> [INFO] database <P_ID> <T_ID>334 ckpt2_request_far_ep_flush dest_seq:1 <*>,"['2025-04-30 00:10:21.859', 'P0000009826', 'T0000000000000011', 'e']",2025-04-30 00:10:21.859 [INFO] database P0000009826 T0000000000000011334  ckpt2_request_far_ep_flush dest_seq:1 end
2231,<DATE> [INFO] database <P_ID> <*> ckpt2_log_adjust: full_status: <*> ptx_reserved: <*>,"['2025-04-30 00:10:21.994', 'P0000009826', 'T0000000000000011334', '160,', '1']","2025-04-30 00:10:21.994 [INFO] database P0000009826 T0000000000000011334  ckpt2_log_adjust: full_status: 160, ptx_reserved: 16"
2232,"<DATE> [INFO] database <P_ID> <T_ID>334 ckpt2_log_adjust: ckpt_lsn(2740295572659), ckpt_fil(0), ckpt_off(9270043136), cur_lsn(2740295834044), l_next_seq(35891329847), g_next_seq(35790007512), cur_free(9373805568), total_space(21474828288), used_space(103746048), free_space(21371082240), n_ep(2)","['2025-04-30 00:10:21.994', 'P0000009826', 'T0000000000000011']","2025-04-30 00:10:21.994 [INFO] database P0000009826 T0000000000000011334  ckpt2_log_adjust: ckpt_lsn(2740295572659), ckpt_fil(0), ckpt_off(9270043136), cur_lsn(2740295834044), l_next_seq(35891329847), g_next_seq(35790007512), cur_free(9373805568), total_space(21474828288), used_space(103746048), free_space(21371082240), n_ep(2)"
2233,"<DATE> [INFO] database <P_ID> <T_ID>334 checkpoint end, <*> pages flushed, <*> <*>","['2025-04-30 00:10:21.994', 'P0000009826', 'T0000000000000011', '831', 'used_space[104131072],', 'f']","2025-04-30 00:10:21.994 [INFO] database P0000009826 T0000000000000011334  checkpoint end, 831 pages flushed, used_space[104131072], free_space[21370697216]."
2234,<DATE> [INFO] database <P_ID> <*> checkpoint requested by <*> rlog free <*> used <*>,"['2025-04-30 00:10:21.995', 'P0000009826', 'T0000000000000011334', 'CKPT2_FLUSH_THREAD,', 'space[21370663424],', 's']","2025-04-30 00:10:21.995 [INFO] database P0000009826 T0000000000000011334  checkpoint requested by CKPT2_FLUSH_THREAD, rlog free space[21370663424], used space[104164864]"
2235,"<DATE> [INFO] database <P_ID> <T_ID>334 checkpoint begin, <*> <*>","['2025-04-30 00:10:21.995', 'P0000009826', 'T0000000000000011', 'used_space[104164864],', 'f']","2025-04-30 00:10:21.995 [INFO] database P0000009826 T0000000000000011334  checkpoint begin, used_space[104164864], free_space[21370663424]..."
2236,<DATE> [WARNING] database <P_ID> <*> socket_err_should_retry <*>,"['2025-04-30 00:10:22.006', 'P0000009826', 'T0000000000000061697', 'e']",2025-04-30 00:10:22.006 [WARNING] database P0000009826 T0000000000000061697  socket_err_should_retry errno:38
2237,<DATE> [WARNING] database <P_ID> <*> socket_err_should_retry <*>,"['2025-04-30 00:10:22.108', 'P0000009826', 'T0000000000000061758', 'e']",2025-04-30 00:10:22.108 [WARNING] database P0000009826 T0000000000000061758  socket_err_should_retry errno:12
2238,<DATE> [WARNING] database <P_ID> <*> socket_err_should_retry <*>,"['2025-04-30 00:10:22.224', 'P0000009826', 'T0000000000000061671', 'e']",2025-04-30 00:10:22.224 [WARNING] database P0000009826 T0000000000000061671  socket_err_should_retry errno:12
2239,<DATE> [WARNING] database <P_ID> <*> socket_err_should_retry <*>,"['2025-04-30 00:10:22.290', 'P0000009826', 'T0000000000000061722', 'e']",2025-04-30 00:10:22.290 [WARNING] database P0000009826 T0000000000000061722  socket_err_should_retry errno:12
2240,<DATE> [WARNING] database <P_ID> <*> socket_err_should_retry <*>,"['2025-04-30 00:10:22.301', 'P0000009826', 'T0000000000000061726', 'e']",2025-04-30 00:10:22.301 [WARNING] database P0000009826 T0000000000000061726  socket_err_should_retry errno:12
2241,<DATE> [WARNING] database <P_ID> <*> socket_err_should_retry <*>,"['2025-04-30 00:10:22.399', 'P0000009826', 'T0000000000000061691', 'e']",2025-04-30 00:10:22.399 [WARNING] database P0000009826 T0000000000000061691  socket_err_should_retry errno:12
2242,<DATE> [INFO] database <P_ID> <T_ID>334 ckpt2_request_far_ep_flush dest_seq:1 <*>,"['2025-04-30 00:10:22.756', 'P0000009826', 'T0000000000000011', 'b']",2025-04-30 00:10:22.756 [INFO] database P0000009826 T0000000000000011334  ckpt2_request_far_ep_flush dest_seq:1 begin
2243,<DATE> [INFO] database <P_ID> <T_ID>334 ckpt2_request_far_ep_flush dest_seq:1 <*>,"['2025-04-30 00:10:22.756', 'P0000009826', 'T0000000000000011', 'e']",2025-04-30 00:10:22.756 [INFO] database P0000009826 T0000000000000011334  ckpt2_request_far_ep_flush dest_seq:1 end
2244,<DATE> [INFO] database <P_ID> <*> ckpt2_log_adjust: full_status: <*> ptx_reserved: <*>,"['2025-04-30 00:10:22.806', 'P0000009826', 'T0000000000000011334', '160,', '2']","2025-04-30 00:10:22.806 [INFO] database P0000009826 T0000000000000011334  ckpt2_log_adjust: full_status: 160, ptx_reserved: 20"
2245,"<DATE> [INFO] database <P_ID> <T_ID>334 ckpt2_log_adjust: ckpt_lsn(2740295718868), ckpt_fil(0), ckpt_off(9304568832), cur_lsn(2740295907905), l_next_seq(35891330063), g_next_seq(35790007728), cur_free(9404383232), total_space(21474828288), used_space(99814400), free_space(21375013888), n_ep(2)","['2025-04-30 00:10:22.809', 'P0000009826', 'T0000000000000011']","2025-04-30 00:10:22.809 [INFO] database P0000009826 T0000000000000011334  ckpt2_log_adjust: ckpt_lsn(2740295718868), ckpt_fil(0), ckpt_off(9304568832), cur_lsn(2740295907905), l_next_seq(35891330063), g_next_seq(35790007728), cur_free(9404383232), total_space(21474828288), used_space(99814400), free_space(21375013888), n_ep(2)"
2246,"<DATE> [INFO] database <P_ID> <T_ID>334 checkpoint end, <*> pages flushed, <*> <*>","['2025-04-30 00:10:22.809', 'P0000009826', 'T0000000000000011', '1912', 'used_space[100669952],', 'f']","2025-04-30 00:10:22.809 [INFO] database P0000009826 T0000000000000011334  checkpoint end, 1912 pages flushed, used_space[100669952], free_space[21374158336]."
2247,<DATE> [WARNING] database <P_ID> <*> socket_err_should_retry <*>,"['2025-04-30 00:10:22.823', 'P0000009826', 'T0000000000000061873', 'e']",2025-04-30 00:10:22.823 [WARNING] database P0000009826 T0000000000000061873  socket_err_should_retry errno:12
2248,<DATE> [WARNING] database <P_ID> <*> socket_err_should_retry <*>,"['2025-04-30 00:10:22.981', 'P0000009826', 'T0000000000000061702', 'e']",2025-04-30 00:10:22.981 [WARNING] database P0000009826 T0000000000000061702  socket_err_should_retry errno:12
2249,<DATE> [WARNING] database <P_ID> <*> socket_err_should_retry <*>,"['2025-04-30 00:10:22.983', 'P0000009826', 'T0000000000000061699', 'e']",2025-04-30 00:10:22.983 [WARNING] database P0000009826 T0000000000000061699  socket_err_should_retry errno:12
2250,<DATE> [INFO] database <P_ID> <*> checkpoint requested by <*> rlog free <*> used <*>,"['2025-04-30 00:10:23.042', 'P0000009826', 'T0000000000000011335', 'RLOG_FLUSH_THREAD,', 'space[21340505088],', 's']","2025-04-30 00:10:23.042 [INFO] database P0000009826 T0000000000000011335  checkpoint requested by RLOG_FLUSH_THREAD, rlog free space[21340505088], used space[134323200]"
